Eligibility,Link
,https://corporate.walmart.com/covid19testing
,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://rmccares.org/coronavirus-information/
,https://www.southernimmediatecare.com/location/
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Requires health insurance,https://www.athenslimestonehospital.com/clinics-physician-offices/waddell-center-family-medicine
,https://www.southernimmediatecare.com/location/
,https://www.stopwatchurgentcare.com/
,https://www.eamc.org/patient-and-guests/covid-19-information/
appt only,https://www.infirmaryhealth.org/media-center/news/archive
,https://www.bessemerquickcare.com/covid-19-testing
,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
,http://www.norwoodclinic.com/
,http://www.norwoodclinic.com/
,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
,http://www.southviewmedical.com/
,https://www.afcurgentcare.com/cahaba-village/
,http://www.southviewmedical.com/
https://www.surveymonkey.com/r/CMCcurbsideWE,https://www.cahabamedicalcare.com/
"appt only, call to schedule",https://www.birminghamal.gov/2020/03/30/covid-19-testing-sites-and-sick-clinics-available-in-birmingham/
healthcare workers or first responders call 205.525.6133,https://www.actonquickcare.com/
,https://sparksandfavorpc.com/for-families-in-greater-birmingham-our-response-to-thecovid-19-situation/
,https://www.wvtm13.com/article/drive-thru-coronavirus-testing-in-birmingham-bessemer-and-tuscaloosa/31651212#
Appointment only – complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx
,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://neahsi.com/
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
go to “specialty clinic” check-in,
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/24.html
,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
,https://cullmanregional.com/cullman-regional-now-offering-covid-19-antibody-testing/
,https://www.afcurgentcare.com/cullman/?utm_source=GMB&utm_medium=organic&utm_campaign=cullman
,https://clearsclinic.com/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://corporate.walmart.com/covid19testing
email covid19@bwwmh.com for more info,https://sewell.house.gov/coronavirus
,http://www.capstoneclinic.org/announcements/capstone-giving-tests-looking-for-supplies-with-covid?A=SearchResult&SearchID=5848052&ObjectID=104469&ObjectType=7
,https://www.wtvy.com/wrgx/content/news/COVID-19-drive-thru-testing-site-in-Enterprise-569451651.html
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://franklinprimary.org/covid-19/
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
,https://neahsi.com/
call for appt,https://alabamamedicine.org/coronavirus/physician-resources/coronavirus-testing-locations/
,http://www.norwoodclinic.com/
,http://www.norwoodclinic.com/
,http://www.norwoodclinic.com/
,http://www.norwoodclinic.com/
,http://www.norwoodclinic.com/
,https://franklinprimary.org/covid-19/
,https://halecountyhospital.com/covid19
,http://www.norwoodclinic.com/
,https://www.stopwatchurgentcare.com/
,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
,https://www.southernimmediatecare.com/telemed/
,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
appt only,www.covidalabama.com
,https://www.stopwatchurgentcare.com/
,https://www.huntsvillehospital.org/fever-flu-clinic
,https://www.urgentteam.com/coronavirus-covid-19/
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/24c.html
,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
,https://www.stopwatchurgentcare.com/
,https://www.urgentteam.com/coronavirus-covid-19/
Call our main number (256) 850-0075 option 19 then option 1 for information and instructions on COVID-19 testing at MCL.,https://www.madisoncorelabs.com/services/molecular/covid19
use side-entrance check-in and waiting room area,
,https://urgentmedcareonline.com/drive-thru-covid-19-testing/
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
,https://www.usahealthsystem.com/covid-19
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
appt only,https://www.usahealthsystem.com/news/usa-health-2600-patients-tested
,https://www.infirmaryhealth.org/coronavirus-covid-19
,https://franklinprimary.org/covid-19/
,http://greatermobileurgentcare.com/coronavirus-testing.html
screening required at location,https://diagnosticandmedical.com/coronavirus/
screening required at location,https://diagnosticandmedical.com/coronavirus/
Waiting for testing kits,
