State,Location,Address,City,Facility,Hours,Phone Number,Eligibility,Link
Alabama,Walmart,2473 Hackworth Rd,Adamsville,Drive-thru,"Mon, Wed, Fri 7 a.m. - 9 a.m.",,,https://corporate.walmart.com/covid19testing
Alabama,Brookwood Baptist,1000 1st Street N,Alabaster,Clinic,,(205) 620-8100,,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama,Main Street Family Care,2508 US Hwy 280,Alexander City,Clinic,"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm",256-414-3013,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Main Street Family Care,508 E. Three Notch Street,Andalusia,Drive-thru,"Mon - Fri: 8am to 8pm, Sat-Sun: 9am to 4pm",(334) 362-2015,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Northeast Alabama Regional Medical Center,230 E 10th Street,Anniston,Drive-thru,M-F 8:30-4:30,256-235-5600,,https://rmccares.org/coronavirus-information/
Alabama,Southern Immediate Care,4100 McClellan Boulevard,Anniston,Drive-thru,,256-568-8818,,https://www.southernimmediatecare.com/location/
Alabama,Main Street Family Care,1420 N. Brindlee Mountain Pkwy. Suite A-1,Arab,Clinic,"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm",(256) 677-4553,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Waddell Family Medicine,902 West Washington St,Athens,Drive-thru,M-F 8-4,,Requires health insurance,https://www.athenslimestonehospital.com/clinics-physician-offices/waddell-center-family-medicine
Alabama,Southern Immediate Care,956 Gilberts Ferry Road,Attalla,Drive-thru,M-F 8-5,256-568-8818,,https://www.southernimmediatecare.com/location/
Alabama,Stopwatch Urgent Care,"2415 Moore's Mill Rd, #230",Auburn,Clinic,,334-502-1117,,https://www.stopwatchurgentcare.com/
Alabama,Health Plus Fitness Center,1171 Gatewood Dr #101,Auburn,Drive-thru,"M-F 9-6, S-S 9-1",334-528-SICK,,https://www.eamc.org/patient-and-guests/covid-19-information/
Alabama,North Baldwin Infirmary,2115 Hand Avenue,Bay Minette,Drive-thru,,251-341-2819,appt only,https://www.infirmaryhealth.org/media-center/news/archive
Alabama,Bessemer Quick Care Clinic,727 Memorial Drive,Bessemer,Drive-thru,,205.273.9424,,https://www.bessemerquickcare.com/covid-19-testing
Alabama,Trust Care,1337 Montclair Road,Birmingham,Clinic,,(205) 203-8226,,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama,Norwood Clinic,"2022 Brookwood Medical Center Dr. ACC, Suite 510",Birmingham,Clinic,,(205) 250-6000,,http://www.norwoodclinic.com/
Alabama,Norwood Clinic,"833 St. Vincent's Drive; POB III, Suite 201",Birmingham,Clinic,,(205) 250-8946,,http://www.norwoodclinic.com/
Alabama,Brookwood Baptist,701 Princeton Ave SW,Birmingham,Clinic,,(205) 783-3000,,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
