State;Location;Address;City;Facility;Phone Number"
Alabama;Walmart;2473 Hackworth Rd;Adamsville;Drive-thru;"
Alabama;Brookwood Baptist;1000 1st Street N;Alabaster;Clinic;(205)620-8100"
Alabama;Main Street Family Care;2508 US Hwy 280;Alexander City;Clinic;256-414-3013"
Alabama;Main Street Family Care;508 E. Three Notch Street;Andalusia;Drive-thru;(334) 362-2015"
Alabama;Northeast Alabama Regional Medical Center;230 E 10th Street;Anniston;Drive-thru;256-235-5600"
Alabama;Southern Immediate Care;4100 McClellan Boulevard;Anniston;Drive-thru;256-568-8818"
Alabama;Main Street Family Care;1420 N. Brindlee Mountain Pkwy. Suite A-1;Arab;Clinic;(256) 677-4553"
Alabama;Waddell Family Medicine;902 West Washington St;Athens;Drive-thru;"
Alabama;Southern Immediate Care;956 Gilberts Ferry Road;Attalla;Drive-thru;256-568-8818"
Alabama;Stopwatch Urgent Care;2415 Moore's Mill Rd, #230;Auburn;Clinic;334-502-1117"
Alabama;Health Plus Fitness Center;1171 Gatewood Dr #101;Auburn;Drive-thru;334-528-SICK"
Alabama;North Baldwin Infirmary;2115 Hand Avenue;Bay Minette;Drive-thru;251-341-2819"
Alabama;Bessemer Quick Care Clinic;727 Memorial Drive;Bessemer;Drive-thru;205.273.9424"
Alabama;Trust Care;1337 Montclair Road;Birmingham;Clinic;(205) 203-8226"
Alabama;Norwood Clinic;2022 Brookwood Medical Center Dr. ACC, Suite 510;Birmingham;Clinic;(205) 250-6000"
Alabama;Norwood Clinic;""833 St. Vincent's Drive; POB III, Suite 201"";Birmingham;Clinic;(205) 250-8946"
Alabama;Brookwood Baptist;701 Princeton Ave SW;Birmingham;Clinic;(205) 783-3000"
Alabama;Brookwood Baptist;2010 Brookwood Medical Center Drive;Birmingham;Clinic;(205) 877-1000"
Alabama;Southview Medical Group;833 St. Vincent's Drive - POB III;Birmingham;Clinic;(205) 933-4640"
Alabama;American Family Care;3000 Cahaba Village Plaza, Suite 110;Birmingham;Clinic;205-293-1205"
Alabama;Southview Medical Group;7191 Cahaba Valley Rd;Birmingham;Clinic;205-408-6600"
Alabama;Cahaba Medical Care;1308 Tuscaloosa Avenue;Birmingham;Drive-thru;205-679-6325"
Alabama;UAB Medicine;University Blvd & 22nd Street S;Birmingham;Drive-thru;205-975-1881"
Alabama;Acton Quick Care Clinic;2868 Acton Road;Birmingham;Drive-thru;205.273.9424"
Alabama;Sparks & Favor;4700 Highlands Way;Birmingham;Drive-thru;205.397.1286"
Alabama;Church of the Highlands Grandview;4700 Highlands Way;Birmingham;Drive-thru;"
"Alabama;Walgreens;4501 Valleydale Road;Birmingham;Drive-thru;"
"Alabama;Trust Care;1645 W. Government St., Suite F;Brandon;Clinic;(601) 829-6600"
"Alabama;Main Street Family Care;2134 Douglas Ave.;Brewton;Clinic;(251) 236-4026"
"Alabama;Northeast Alabama Health Services;29810 Alabama Hwy 71;Bryant;Drive-thru;256-597-4114"
"Alabama;Main Street Family Care;1925 West Main Street, Suite 102;Centre;Clinic;(256) 677-4552"
"Alabama;Cahaba Medical Care;195 Hospital Drive;Centreville;Clinic;205-926-2992"
"Alabama;Citronelle Health Center;19240 N. Mobile St;Citronelle;Drive-thru;(251) 866-9126"
"Alabama;Chilton County Health Department;301 Health Center Drive;Clanton;Drive-thru;(205) 755-1287"
"Alabama;Trust Care;601 Highway 80 Clinton, MS;Clinton;Clinic;(601) 708-1480"
"Alabama;Cullman Regional Screening Site;1958 Alabama Highway 157;Cullman;Drive-thru;256-735-5530"
"Alabama;American Family Care;1841 Cherokee Ave SW;Cullman;Clinic;256-743-5026"
"Alabama;Clears Clinic;28720 U.S. Hwy. 98,Suite 1;Daphne;Drive-thru;251-263-3229"
"Alabama;Urgent Team;1115 Beltline Rd SE Suite 400;Decatur;Clinic;(256) 898-3004"
"Alabama;Walmart;1701 US-43;Demopolis;Drive-thru;"
"Alabama;Whitfield Regional Hospital parking lot;105 U.S. Highway 80 East;Demopolis;Drive-thru;"
"Alabama;Capstone Clinic;110 Legion Rd Ste B;Double Springs;Clinic;(205) 874-4858"
"Alabama;Enterprise Civic Center;2401 Neil Metcalf Road;Enterprise;Drive-thru;"
"Alabama;Main Street Family Care;1026 South Eufaula Ave.;Eufaula;Clinic;(334) 689-4025"
"Alabama;Evergreen Family Medical Center;316 S. Main Street;Evergreen;Drive-thru;251-444-1122"
"Alabama;Semmes Health Center;3810 Wulff Road East;Fire Tower;Drive-thru;(251) 445-0582"
"Alabama;Urgent Team;202 Cox Creek Pkwy;Florence;Clinic;(256) 349-5496"
"Alabama;Trust Care;1710 Old Fannin Road;Flowood;Clinic;(601) 487-9191"
"Alabama;Northeast Alabama Health Services;3840 Gault Avenue North;Fort Payne;Drive-thru;256-844-4975"
"Alabama;DeKalb Regional Medical Center;421 Medical Center Drive SW;Fort Payne;Drive-thru;256-997-2708"
"Alabama;Norwood Clinic;339 Walker Chapel Plaza, Suite 115;Fultondale;Clinic;(205) 250-6424"
"Alabama;Norwood Clinic;339 Walker's Chapel Plaza;Fultondale;Clinic;(205) 380-7878"
"Alabama;Norwood Clinic;1604 Stouts Road;Fultondale;Clinic;(205) 849-9811"
"Alabama;Norwood Clinic;313 Fieldstown Road, Suite 103;Gardendale;Clinic;(205) 631-0055"
"Alabama;Norwood Clinic;527 Fieldstown Road, Suite C;Gardendale;Clinic;(205) 631-5671"
"Alabama;Gilbertown Medical and Dental Center;140 Front Street Suite 4;Gilbertown;Drive-thru;251-444-1122"
"Alabama;Hale County Hospital;508 Greene Street;Greensboro;Drive-thru;334-507-3815"
"Alabama;Norwood Clinic;6150 US Highway 43;Guin;Clinic;(205) 468-2754"
"Alabama;Stopwatch Urgent Care;351 US 31;Hartselle;Clinic;256.286.0827"
"Alabama;Trust Care;6176 US Highway 98;Hattiesburg;Clinic;(601) 475-0444"
"Alabama;Southern Immediate Care;150 Tompkins St;Heflin;Clinic;256-568-8818"
"Alabama;Brookwood Baptist;7131 Cahaba Valley Rd.;Hoover;Clinic;(205) 725-6800"
